,team,abr,line,tor,hca,sportsref,sos
240,Radford,RADF,Radford,Radford,Radford,Radford,Radford
241,Rhode Island,URI,Rhode Island,Rhode Island,Rhode Island,Rhode Island,Rhode Island
242,Rice,RICE,Rice,Rice,Rice,Rice,Rice
243,Richmond,RICH,,Richmond,Richmond,Richmond,Richmond
244,Rider,RIDER,Rider,Rider,Rider,Rider,Rider
245,Robert Morris,RMU,Robert Morris,Robert Morris,Robert Morris,Robert Morris,Rob Morris
246,Rutgers,RUTG,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers
247,SIU-Edwardsville,SIUE,SIUE,SIU Edwardsville,,SIU-Edwardsville,SIU Edward
248,Sacramento State,CSUS,Sacramento St.,Sacramento St.,Sacramento State,Sacramento State,Sac State
249,Sacred Heart,HEART,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Heart,Sacred Hrt
250,Saint Joseph,STJOE,Saint Joseph's,Saint Joseph's,St Josephs,St. Joseph's,St Josephs
251,Saint Louis,STLOU,,Saint Louis,Saint Louis,Saint Louis,Saint Louis
252,Saint Mary,STMRY,Saint Mary's,Saint Mary's,St Marys,Saint Mary's,St Marys
253,Saint Peter,STPC,St. Peter's,Saint Peter's,St Peters,St. Peter's,St Peters
254,Sam Houston State,SHSU,Sam Houston,Sam Houston St.,Sam Houston St,Sam Houston,Sam Hous St
255,Samford,SAMF,Samford,Samford,Samford,Samford,Samford
256,San Diego,SAND,San Diego,San Diego,San Diego,San Diego,San Diego
257,San Diego State,SDSU,San Diego St.,San Diego St.,San Diego St,San Diego State,San Diego St
