,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
344,332,Incarnate Word,Slnd,22,8-16  3–8,98.3,114.5,.1475,48.7,51.7,21.2,15.8,29.3,31,37,40.5,48.5,50.9,32.7,35.5,40.1,33.6,69.5,-13.1
345,333,Eastern Michigan,MAC,22,9-15  2–9,97.9,114.7,.1389,49,54.6,17,15.6,26.5,31,26.8,32.6,49.8,56.5,31.6,34.3,32.1,38.3,66,-11.7
346,334,Central Arkansas,ASun,25,9-18  5–6,97.4,114.2,.1380,47.2,54.4,18.1,16.2,27.9,32.6,29.2,34,45.2,53.1,33.6,37.5,38.1,42.3,69.1,-14.2
347,335,Hampton,CAA,22,5-20  0–12,97.9,114.9,.1379,48.2,53.1,19.1,14.9,27.9,32.6,29.3,31.1,48.7,53.5,31.6,35,39.2,38.9,70,-17
348,336,Cal Poly,BW,24,4-21  0–13,91.9,107.8,.1370,45.2,50.2,19.7,17.8,24.9,33.2,30.4,43.2,43.8,50.1,32,33.7,33.5,29.8,65.7,-17.2
349,337,Morgan St.,MEAC,20,8-15  4–3,98.5,115.6,.1365,47.1,53.5,20.1,18,29.4,37.9,28.1,41.3,47.9,53.9,30.1,35.2,28.2,33.1,70.6,-10.6
350,338,Pacific,WCC,24,6-20  0–11,97.9,114.9,.1358,47.9,56.1,17.5,16.9,17.9,31.8,35.9,36.4,47.5,57.7,32.3,35.7,38.5,40.3,68.2,-14.8
351,339,Navy,Pat,22,8-15  4–8,96.4,113.4,.1347,43.6,52.9,15.4,22.2,30.8,30.3,35.5,37.8,44.3,54.3,28.2,34.1,32.9,43.1,66,-12.6
352,340,North Carolina A&T,CAA,25,7-18  5–7,97.2,114.7,.1297,45.1,54.9,13.8,16.6,23.7,34.8,34.7,30.2,45.3,55.5,29.9,36,36.4,35.8,68.3,-13.1
353,341,Arkansas Pine Bluff,SWAC,20,10-14  5–6,101.2,119.5,.1290,51,54.1,18.4,15.9,22.8,35.6,42.5,33.5,48.8,56.9,35.6,33.1,48,37.4,71.9,-9.7
354,342,Prairie View A&M,SWAC,22,10-14  5–6,94.1,111.7,.1222,44.5,53.3,17,22.9,27.1,35.6,36.4,47.8,44.1,54.2,30.6,34.3,25.5,32.8,71.2,-9.4
355,343,Loyola MD,Pat,24,5-20  3–9,93.7,111.5,.1183,47.7,53.6,21.5,15.7,28.9,26.7,28.7,32.1,47.3,53.6,32.1,35.7,39.6,37,65.9,-16.4
356,344,Dartmouth,Ivy,18,5-15  1–6,90.0,107.4,.1159,45.4,52.4,19,13.7,19.9,24.5,26.8,26.1,47.1,52.4,28.8,35,43.1,40.1,64.7,-11.4
357,345,Tennessee Tech,OVC,23,9-17  4–9,95.2,113.7,.1145,48.8,52.6,17.5,15.8,17.8,28.1,32.5,25.1,50.1,52.8,30.8,34.8,33.3,38,66,-13.5
358,346,LIU Brooklyn,NEC,23,6-17  5–6,93.5,111.9,.1121,46.8,50.9,20.1,15.5,23.1,29.4,31.8,40.8,46.7,53.1,31.3,31,32.3,34,70.2,-13.6
359,347,Alabama A&M,SWAC,24,6-18  5–6,93.2,111.7,.1110,45.2,51.3,22.9,19,31.6,33.9,47.7,48.4,45.8,48.9,28.9,36.8,26.8,37.5,71.1,-13.9
360,348,Florida A&M,SWAC,20,4-18  2–9,95.6,114.8,.1086,48.2,53.6,20.9,15.5,26.6,30.5,25.9,40.4,45.7,52.9,35.9,36.6,31,39.3,68,-12.5
361,349,Buffalo,MAC,23,3-21  1–10,95.2,114.7,.1048,46.6,54.7,20,15.2,29.3,30.8,25,27.8,51.8,54.9,26.5,36.2,43,34.8,68.5,-16.6
362,350,Holy Cross,Pat,24,8-17  5–7,98.9,119.6,.1004,50.3,53,17.3,13.3,23.2,29.6,26.1,30.1,48.7,50.4,35.3,38,37,39.3,65.4,-14
363,351,Lindenwood,OVC,22,8-17  2–10,91.8,112.5,.0879,42.9,53,18.2,17.9,24,29,39.3,41,43.4,51.5,27.8,36.9,29.9,37.7,67.7,-13.8
364,352,Southeast Missouri St.,OVC,21,8-17  3–9,91.9,112.7,.0873,46,52.4,18.3,17.5,24.6,29.9,26.4,44.4,46.3,53.9,30.4,32.4,34.4,28.8,69.2,-13.9
365,353,Maryland Eastern Shore,MEAC,17,7-14  2–5,88.1,108.2,.0863,41.3,51.4,19.7,18.1,28,33.1,30.2,37.8,40.2,53,28.8,32.5,35.4,37,67.4,-11
366,354,Houston Christian,Slnd,21,6-17  4–8,93.8,115.4,.0850,45.7,53.2,21.7,13.8,29.7,33.7,37.2,27.3,46.8,55.5,28.4,32.6,26.7,35,71.8,-11.8
367,355,VMI,SC,22,4-21  1–11,91.0,112.3,.0823,47.2,53.8,21.4,14.4,25.1,30.4,28.4,30.9,47.8,53.8,30.7,35.9,33.4,38.5,74.9,-16.7
368,356,St. Francis PA,NEC,22,8-16  3–8,93.9,115.9,.0816,46.4,52.6,21,17.7,32.6,32.7,31.9,34.5,45.4,53.1,32.2,34.5,36.6,36.1,66,-12.9
369,357,Siena,MAAC,24,4-20  3–10,89.4,110.5,.0802,44.4,51.3,24.4,14.9,33.7,31.6,32.8,27.7,46.4,50.7,27,35,33.6,32.7,67,-16.4
370,358,Detroit,Horz,26,0-26  0–15,94.0,116.9,.0755,46,55.6,19.4,17.5,26.1,36.9,28.9,32.5,49,55.6,27.2,37.1,37.1,37,67.5,-20.7
371,359,IUPUI,Horz,23,6-20  2–13,93.1,116.6,.0700,46.2,57.7,20.8,17.9,30.3,34.7,32.7,32.3,49.3,58.1,24.4,38,24.4,37.8,67.1,-16.4
372,360,Stonehill,NEC,25,3-23  1–10,90.3,113.1,.0698,46.4,52.6,20,17.2,22,32.3,22.8,30.3,46.9,52.2,30.6,35.4,47.3,47.4,68.5,-18
