,Player,Team,Pos,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
64,Joseph Girard III,CLEM,PG,9,31.7,15.1,4.6,10.4,0.436,3.1,7.0,0.444,2.9,3.2,0.897,0.2,2.9,3.1,3.4,0.8,0.1,1.2,1.7
65,Tamin Lipsey,IWAST,PG,10,31.1,15.1,5.2,10.4,0.5,1.2,3.3,0.364,3.5,5.4,0.648,1.9,4.4,6.3,6.1,3.6,0.0,2.7,2.0
66,Jalin Anderson,BLLST,PG,10,32.2,15.1,5.2,11.9,0.437,1.8,4.8,0.375,2.9,4.0,0.725,0.4,3.6,4.0,4.1,1.2,0.2,2.6,2.2
67,Brennan Watkins,VMI,PG,10,28.7,15.1,4.9,11.4,0.43,2.4,6.0,0.4,2.9,3.2,0.906,0.2,1.4,1.6,2.9,0.4,0.0,2.1,2.2
68,Don McHenry,WKU,PG,11,23.5,15.1,5.4,10.9,0.492,1.1,2.9,0.375,3.3,3.8,0.857,0.4,2.7,3.1,2.4,0.8,0.0,1.5,1.7
69,Hunter Cattoor,VT,PG,10,32.7,15.0,4.1,9.5,0.432,2.7,7.1,0.38,4.1,4.5,0.911,0.2,2.6,2.8,1.5,0.8,0.1,1.4,2.4
70,Akuel Kot,UWYOM,PG,9,33.3,15.0,4.8,12.3,0.387,1.7,4.9,0.341,3.8,4.3,0.872,0.2,2.1,2.3,2.6,1.3,0.1,3.2,1.8
71,Aidan Mahaney,STMRY,PG,10,34.4,14.9,5.4,13.2,0.409,2.2,6.6,0.333,1.9,2.5,0.76,0.3,2.1,2.4,3.2,1.0,0.3,1.9,2.3
72,Javian McCollum,OKLA,PG,9,29.2,14.9,5.4,11.7,0.467,2.1,5.9,0.358,1.9,2.0,0.944,0.1,2.8,2.9,3.2,0.9,0.1,2.1,1.3
73,Jason Edwards,UNT,PG,9,25.4,14.9,4.2,10.2,0.413,1.9,5.6,0.34,4.6,5.2,0.872,0.0,1.7,1.7,1.0,0.9,0.1,2.2,0.6
74,Ahmad Henderson II,NIAG,PG,8,29.4,14.9,5.5,12.9,0.427,1.8,5.0,0.35,2.1,2.8,0.773,0.3,2.3,2.5,1.9,1.0,0.0,1.5,1.4
75,Lu'Cye Patterson,CHAR,PG,9,33.0,14.8,5.0,11.0,0.455,0.9,3.1,0.286,3.9,5.8,0.673,0.8,2.3,3.1,2.8,1.6,0.3,1.1,2.7
76,Ty Johnson,UCD,PG,8,27.5,14.8,5.3,10.5,0.5,0.3,1.9,0.133,4.0,6.4,0.627,1.0,2.3,3.3,2.6,1.3,0.1,3.4,2.3
